id,participant_id,timestamp,pagetime,item,action,message,combined,combined_num
4407,112,2017-08-25 18:13:35,0,select_recipe,choc_pots,,select_recipe choc_pots,4
4409,112,2017-08-25 18:14:03,0,play_pause_button,play,,play_pause_button play,9
4411,112,2017-08-25 18:14:16,0,select_recipe,choc_pots,,select_recipe choc_pots,4
4412,112,2017-08-25 18:14:22,0,experience_level,not_really,,experience_level not_really,25
4413,112,2017-08-25 18:14:33,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
4414,112,2017-08-25 18:14:36,0,cook_reason,dinner,,cook_reason dinner,28
4415,112,2017-08-25 18:14:40,0,cooking_for,2,,cooking_for 2,21
4417,112,2017-08-25 18:15:53,0,not_quite_button,click,,not_quite_button click,10
4418,112,2017-08-25 18:15:55,0,select_recipe,deselect,,select_recipe deselect,6
4420,112,2017-08-25 18:15:58,0,select_recipe,choc_pots,,select_recipe choc_pots,4
4421,112,2017-08-25 18:16:02,0,experience_level,not_really,,experience_level not_really,25
4422,112,2017-08-25 18:16:05,0,cook_reason,dinner,,cook_reason dinner,28
4423,112,2017-08-25 18:16:07,0,cooking_for,2,,cooking_for 2,21
4424,112,2017-08-25 18:16:13,0,confirm_cook,click,,confirm_cook click,26
4425,112,2017-08-25 18:16:21,0,cardView,toggle,,cardView toggle,11
4427,112,2017-08-25 18:17:22,0,next_button,click,,next_button click,14
4428,112,2017-08-25 18:17:50,0,next_button,click,,next_button click,14
4429,112,2017-08-25 18:17:55,0,back_button,rewind,,back_button rewind,15
4434,112,2017-08-25 18:20:29,0,next_button,click,,next_button click,14
4437,112,2017-08-25 18:24:23,0,back_button,rewind,,back_button rewind,15
4438,112,2017-08-25 18:24:24,0,back_button,rewind,,back_button rewind,15
4439,112,2017-08-25 18:24:25,0,back_button,rewind,,back_button rewind,15
4440,112,2017-08-25 18:24:27,0,back_button,rewind,,back_button rewind,15
4441,112,2017-08-25 18:24:28,0,back_button,rewind,,back_button rewind,15
4442,112,2017-08-25 18:24:34,0,back_button,rewind,,back_button rewind,15
4443,112,2017-08-25 18:24:38,0,next_button,click,,next_button click,14
4444,112,2017-08-25 18:24:40,0,next_button,click,,next_button click,14
4445,112,2017-08-25 18:26:12,0,next_button,click,,next_button click,14
4446,112,2017-08-25 18:31:40,0,next_button,click,,next_button click,14
4447,112,2017-08-25 18:32:43,0,next_button,click,,next_button click,14
4448,112,2017-08-25 18:32:44,0,next_button,click,,next_button click,14
4449,112,2017-08-25 18:32:54,0,back_button,rewind,,back_button rewind,15
4450,112,2017-08-25 18:32:57,0,next_button,click,,next_button click,14
4451,112,2017-08-25 18:32:58,0,next_button,click,,next_button click,14
4452,112,2017-08-25 18:33:02,0,next_button,click,,next_button click,14
4453,112,2017-08-25 18:33:05,0,next_button,click,,next_button click,14
4454,112,2017-08-25 18:33:07,0,next_button,click,,next_button click,14
4455,112,2017-08-25 18:33:10,0,next_button,click,,next_button click,14
4456,112,2017-08-25 18:33:14,0,next_button,click,,next_button click,14
4457,112,2017-08-25 18:33:16,0,back_button,rewind,,back_button rewind,15
4458,112,2017-08-25 18:33:19,0,back_button,rewind,,back_button rewind,15
4459,112,2017-08-25 18:33:23,0,back_button,rewind,,back_button rewind,15
4460,112,2017-08-25 18:33:25,0,back_button,rewind,,back_button rewind,15
4461,112,2017-08-25 18:33:32,0,back_button,rewind,,back_button rewind,15
4462,112,2017-08-25 18:33:33,0,back_button,rewind,,back_button rewind,15
4463,112,2017-08-25 18:33:38,0,back_button,rewind,,back_button rewind,15
4464,112,2017-08-25 18:33:43,0,back_button,rewind,,back_button rewind,15
4465,112,2017-08-25 18:35:34,0,next_button,click,,next_button click,14
4466,112,2017-08-25 18:38:38,0,next_button,click,,next_button click,14
4467,112,2017-08-25 18:40:11,0,next_button,click,,next_button click,14
4468,112,2017-08-25 18:42:51,0,next_button,click,,next_button click,14
4469,112,2017-08-25 18:42:58,0,next_button,click,,next_button click,14
4470,112,2017-08-25 18:43:07,0,back_button,rewind,,back_button rewind,15
4471,112,2017-08-25 18:44:02,0,next_button,click,,next_button click,14
4472,112,2017-08-25 18:44:14,0,next_button,click,,next_button click,14
4473,112,2017-08-25 18:44:19,0,next_button,click,,next_button click,14
4474,112,2017-08-25 18:44:24,0,back_button,rewind,,back_button rewind,15
4475,112,2017-08-25 18:44:25,0,back_button,rewind,,back_button rewind,15
4476,112,2017-08-25 18:46:53,0,next_button,click,,next_button click,14
4477,112,2017-08-25 18:47:15,0,next_button,click,,next_button click,14
4478,112,2017-08-25 18:47:41,0,next_button,click,,next_button click,14
4479,112,2017-08-25 18:47:46,0,next_button,click,,next_button click,14
4480,112,2017-08-25 18:47:51,0,back_button,rewind,,back_button rewind,15
4481,112,2017-08-25 18:47:53,0,back_button,rewind,,back_button rewind,15
4482,112,2017-08-25 18:47:57,0,next_button,click,,next_button click,14
4483,112,2017-08-25 18:52:50,0,next_button,click,,next_button click,14
4484,112,2017-08-25 18:52:55,0,next_button,click,,next_button click,14
4485,112,2017-08-25 18:53:06,0,next_button,click,,next_button click,14
4486,112,2017-08-25 18:53:18,0,back_button,rewind,,back_button rewind,15
4489,112,2017-08-25 19:00:10,0,cardView,toggle,,cardView toggle,11
4490,112,2017-08-25 19:00:15,0,cardView,toggle,,cardView toggle,11
4492,112,2017-08-25 19:08:21,0,next_button,click,,next_button click,14
4493,112,2017-08-25 19:08:26,0,next_button,click,,next_button click,14
4581,220,2017-08-25 21:14:47,0,play_pause_button,play,,play_pause_button play,9
4582,220,2017-08-25 21:20:43,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
4583,220,2017-08-25 21:20:46,0,play_pause_button,pause,,play_pause_button pause,16
4584,220,2017-08-25 21:20:48,0,play_pause_button,play,,play_pause_button play,9
4585,220,2017-08-25 21:21:17,0,play_pause_button,play,,play_pause_button play,9
4586,220,2017-08-25 21:21:43,0,select_recipe,mullet,,select_recipe mullet,13
4587,220,2017-08-25 21:21:43,0,select_recipe,deselect,,select_recipe deselect,6
4588,220,2017-08-25 21:21:49,0,select_recipe,mullet,,select_recipe mullet,13
4589,220,2017-08-25 21:22:01,0,experience_level,not_really,,experience_level not_really,25
4590,220,2017-08-25 21:22:09,0,cook_reason,learn,,cook_reason learn,24
4591,220,2017-08-25 21:22:13,0,cooking_for,1,,cooking_for 1,23
4592,220,2017-08-25 21:23:06,0,not_quite_button,click,,not_quite_button click,10
4593,220,2017-08-25 21:23:14,0,experience_level,not_really,,experience_level not_really,25
4594,220,2017-08-25 21:23:18,0,cook_reason,learn,,cook_reason learn,24
4595,220,2017-08-25 21:23:22,0,cooking_for,1,,cooking_for 1,23
4596,220,2017-08-25 21:23:25,0,confirm_cook,click,,confirm_cook click,26
4597,220,2017-08-25 21:24:38,0,cardView,toggle,,cardView toggle,11
4598,220,2017-08-25 21:24:46,0,next_button,click,,next_button click,14
4599,220,2017-08-25 21:24:59,0,cardView,toggle,,cardView toggle,11
4600,220,2017-08-25 21:25:10,0,cardView,toggle,,cardView toggle,11
4601,220,2017-08-25 21:25:11,0,next_button,click,,next_button click,14
4602,220,2017-08-25 21:25:15,0,next_button,click,,next_button click,14
4603,220,2017-08-25 21:26:10,0,next_button,click,,next_button click,14
4604,220,2017-08-25 21:26:31,0,back_button,rewind,,back_button rewind,15
4605,220,2017-08-25 21:26:33,0,back_button,rewind,,back_button rewind,15
4606,220,2017-08-25 21:26:35,0,back_button,rewind,,back_button rewind,15
4607,220,2017-08-25 21:26:36,0,back_button,rewind,,back_button rewind,15
4608,220,2017-08-25 21:26:40,0,next_button,click,,next_button click,14
4609,220,2017-08-25 21:26:43,0,back_button,rewind,,back_button rewind,15
4610,220,2017-08-25 21:26:44,0,back_button,rewind,,back_button rewind,15
4611,220,2017-08-25 21:26:51,0,back_button,rewind,,back_button rewind,15
4612,220,2017-08-25 21:26:53,0,back_button,rewind,,back_button rewind,15
4613,220,2017-08-25 21:26:54,0,back_button,rewind,,back_button rewind,15
4614,220,2017-08-25 21:26:54,0,back_button,rewind,,back_button rewind,15
4615,220,2017-08-25 21:26:54,0,back_button,rewind,,back_button rewind,15
4616,220,2017-08-25 21:26:54,0,back_button,rewind,,back_button rewind,15
4617,220,2017-08-25 21:27:00,0,next_button,click,,next_button click,14
