id,participant_id,timestamp,pagetime,item,action,message,condition
1425,209,"2017-08-19 17:16:47",0,next_button,click,NULL,1
1426,209,"2017-08-19 17:17:02",0,video_end,ended,NULL,1
1427,211,"2017-08-19 17:17:21",0,video_end,ended,NULL,1
1428,211,"2017-08-19 17:17:38",0,next_button,click,NULL,1
1429,211,"2017-08-19 17:17:55",0,video_end,ended,NULL,1
1430,209,"2017-08-19 17:19:11",0,next_button,click,NULL,1
1431,211,"2017-08-19 17:20:02",0,next_button,click,NULL,1
1432,211,"2017-08-19 17:20:25",0,play_pause_button,pause,NULL,1
1433,211,"2017-08-19 17:25:28",0,play_pause_button,play,NULL,1
1434,211,"2017-08-19 17:25:42",0,video_end,ended,NULL,1
1435,211,"2017-08-19 17:25:42",0,cardView,toggle,NULL,1
1436,211,"2017-08-19 17:25:48",0,back_button,rewind,NULL,1
1437,211,"2017-08-19 17:25:57",0,next_button,click,NULL,1
1438,211,"2017-08-19 17:25:58",0,next_button,click,NULL,1
1439,211,"2017-08-19 17:26:00",0,next_button,click,NULL,1
1440,211,"2017-08-19 17:26:06",0,back_button,rewind,NULL,1
1441,211,"2017-08-19 17:26:07",0,back_button,rewind,NULL,1
1442,211,"2017-08-19 17:26:25",0,back_button,rewind,NULL,1
1443,211,"2017-08-19 17:26:30",0,cardView,toggle,NULL,1
1444,211,"2017-08-19 17:26:44",0,video_end,ended,NULL,1
1445,211,"2017-08-19 17:35:42",0,next_button,click,NULL,1
1446,211,"2017-08-19 17:36:17",0,video_end,ended,NULL,1
1447,211,"2017-08-19 17:37:57",0,next_button,click,NULL,1
1448,211,"2017-08-19 17:38:35",0,video_end,ended,NULL,1
1449,211,"2017-08-19 17:38:59",0,next_button,click,NULL,1
1450,211,"2017-08-19 17:39:04",0,back_button,back,NULL,1
1451,211,"2017-08-19 17:39:06",0,back_button,rewind,NULL,1
1452,211,"2017-08-19 17:39:45",0,video_end,ended,NULL,1
1453,211,"2017-08-19 17:39:53",0,next_button,click,NULL,1
1454,211,"2017-08-19 17:40:23",0,video_end,ended,NULL,1
1455,211,"2017-08-19 17:41:59",0,next_button,click,NULL,1
1456,211,"2017-08-19 17:43:19",0,video_end,ended,NULL,1
1457,211,"2017-08-19 17:44:15",0,next_button,click,NULL,1
1458,211,"2017-08-19 17:45:04",0,video_end,ended,NULL,1
1459,211,"2017-08-19 17:45:54",0,next_button,click,NULL,1
1460,211,"2017-08-19 17:46:56",0,video_end,ended,NULL,1
1461,211,"2017-08-19 17:48:51",0,next_button,click,NULL,1
1462,211,"2017-08-19 17:51:26",0,video_end,ended,NULL,1
1463,211,"2017-08-19 17:54:09",0,next_button,click,NULL,1
1464,211,"2017-08-19 17:54:09",0,next_button,click,NULL,1
1465,211,"2017-08-19 17:54:14",0,back_button,rewind,NULL,1
1466,211,"2017-08-19 17:54:53",0,video_end,ended,NULL,1
1467,211,"2017-08-19 17:55:05",0,next_button,click,NULL,1
1468,211,"2017-08-19 17:55:45",0,video_end,ended,NULL,1
1469,211,"2017-08-19 17:58:09",0,next_button,click,NULL,1
1470,211,"2017-08-19 17:59:21",0,video_end,ended,NULL,1
1471,211,"2017-08-19 17:59:45",0,next_button,click,NULL,1
1472,211,"2017-08-19 18:00:01",0,video_end,ended,NULL,1
1473,211,"2017-08-19 18:01:26",0,next_button,click,NULL,1
1474,124,"2017-08-19 18:47:15",0,select_recipe,choc_pots,NULL,2
1475,124,"2017-08-19 18:47:48",0,experience_level,not_really,NULL,2
1476,124,"2017-08-19 18:47:56",0,cook_reason,dinner,NULL,2
1477,124,"2017-08-19 18:48:01",0,cooking_for,2,NULL,2
1478,124,"2017-08-19 18:48:26",0,play_pause_button,play,NULL,2
1479,124,"2017-08-19 18:48:38",0,select_recipe,choc_pots,NULL,2
1480,124,"2017-08-19 18:48:41",0,experience_level,not_really,NULL,2
1481,124,"2017-08-19 18:48:43",0,cook_reason,dinner,NULL,2
1482,124,"2017-08-19 18:48:46",0,cooking_for,2,NULL,2
1483,124,"2017-08-19 18:48:52",0,confirm_cook,click,NULL,2
1484,124,"2017-08-19 18:49:29",0,video_end,ended,NULL,2
1485,124,"2017-08-19 18:50:17",0,play_pause_button,play,NULL,2
1486,124,"2017-08-19 18:50:20",0,select_recipe,choc_pots,NULL,2
1487,124,"2017-08-19 18:50:23",0,experience_level,not_really,NULL,2
1488,124,"2017-08-19 18:50:25",0,cook_reason,dinner,NULL,2
1489,124,"2017-08-19 18:50:28",0,cooking_for,4,NULL,2
1490,124,"2017-08-19 18:50:31",0,confirm_cook,click,NULL,2
1491,124,"2017-08-19 18:51:07",0,video_end,ended,NULL,2
1492,124,"2017-08-19 18:51:24",0,next_button,click,NULL,2
1493,124,"2017-08-19 18:51:59",0,video_end,ended,NULL,2
1494,124,"2017-08-19 18:56:53",0,next_button,click,NULL,2
