id,participant_id,timestamp,pagetime,item,action,message
4486,112,"2017-08-25 18:53:18",0,back_button,rewind,
4489,112,"2017-08-25 19:00:10",0,cardView,toggle,
4490,112,"2017-08-25 19:00:15",0,cardView,toggle,
4492,112,"2017-08-25 19:08:21",0,next_button,click,
4493,112,"2017-08-25 19:08:26",0,next_button,click,
4581,220,"2017-08-25 21:14:47",0,play_pause_button,play,
4582,220,"2017-08-25 21:20:43",0,full_screen_button,fullscreen,
4583,220,"2017-08-25 21:20:46",0,play_pause_button,pause,
4584,220,"2017-08-25 21:20:48",0,play_pause_button,play,
4585,220,"2017-08-25 21:21:17",0,play_pause_button,play,
4586,220,"2017-08-25 21:21:43",0,select_recipe,mullet,
4587,220,"2017-08-25 21:21:43",0,select_recipe,deselect,
4588,220,"2017-08-25 21:21:49",0,select_recipe,mullet,
4589,220,"2017-08-25 21:22:01",0,experience_level,not_really,
4590,220,"2017-08-25 21:22:09",0,cook_reason,learn,
4591,220,"2017-08-25 21:22:13",0,cooking_for,1,
4592,220,"2017-08-25 21:23:06",0,not_quite_button,click,
4593,220,"2017-08-25 21:23:14",0,experience_level,not_really,
4594,220,"2017-08-25 21:23:18",0,cook_reason,learn,
4595,220,"2017-08-25 21:23:22",0,cooking_for,1,
4596,220,"2017-08-25 21:23:25",0,confirm_cook,click,
4597,220,"2017-08-25 21:24:38",0,cardView,toggle,
4598,220,"2017-08-25 21:24:46",0,next_button,click,
4599,220,"2017-08-25 21:24:59",0,cardView,toggle,
4600,220,"2017-08-25 21:25:10",0,cardView,toggle,
4601,220,"2017-08-25 21:25:11",0,next_button,click,
4602,220,"2017-08-25 21:25:15",0,next_button,click,
4603,220,"2017-08-25 21:26:10",0,next_button,click,
4604,220,"2017-08-25 21:26:31",0,back_button,rewind,
4605,220,"2017-08-25 21:26:33",0,back_button,rewind,
4606,220,"2017-08-25 21:26:35",0,back_button,rewind,
4607,220,"2017-08-25 21:26:36",0,back_button,rewind,
4608,220,"2017-08-25 21:26:40",0,next_button,click,
4609,220,"2017-08-25 21:26:43",0,back_button,rewind,
4610,220,"2017-08-25 21:26:44",0,back_button,rewind,
